"Name","State","Notes","User","Tags","Created","Runtime","Sweep","lr","steps","init_type","weight_decay_ti","image_alignment_avg","loss","step","text_alignment_all","text_alignment_avg","image_alignment_all"
"steps_4001_lr_0.001_","finished","-","simoryu","","2022-12-30T15:43:44.000Z","1394","","0.001","4001","<rand-0.1>|<rand-0.1>","1","0.401652067899704","0.0013483464438468218","","[0.17898531258106232,0.15840324759483335,0.1741028130054474,0.17576006054878235,0.1787221133708954,0.16908082365989685,0.17223595082759857,0.11705433577299118,0.15668998658657074,0.10443635284900664,0.1866646707057953,0.13731899857521057,0.1673717349767685,0.17150621116161346,0.20288783311843872]","0.16341470181941986","[0.4020192921161651,0.40105751156806946,0.4018729627132416,0.4019182026386261,0.4007755219936371,0.40175333619117737,0.4018043875694275,0.4021576344966888,0.4016994535923004,0.4011390507221222,0.4013567566871643,0.4015576243400574,0.40210622549057007,0.4017094373703003,0.40185320377349854]"
"steps_4001_lr_0.001_","finished","-","simoryu","","2022-12-30T15:20:32.000Z","1390","","0.001","4001","game|girl","1","0.4016813039779663","0.001335952803492546","","[0.17843705415725708,0.15820124745368958,0.17399835586547852,0.17573201656341553,0.17860263586044312,0.16802048683166504,0.1721169799566269,0.11673370003700256,0.1565398871898651,0.1050240471959114,0.1865765005350113,0.13779562711715698,0.16614441573619845,0.17178434133529663,0.20206040143966675]","0.1631845086812973","[0.4019668996334076,0.40115147829055786,0.40149492025375366,0.40135520696640015,0.40147241950035095,0.4012066423892975,0.4022684395313263,0.4025185704231262,0.4009031653404236,0.40147343277931213,0.40165776014328,0.40205925703048706,0.40156903862953186,0.4023542106151581,0.40176790952682495]"
"steps_4001_lr_0.001_","finished","-","simoryu","","2022-12-30T14:57:20.000Z","1389","","0.001","4001","<zero>|<zero>","1","0.4014803469181061","0.0011192622501403093","","[0.17862102389335632,0.15829704701900482,0.1741480529308319,0.17610473930835724,0.1786496490240097,0.16839364171028137,0.17236857116222382,0.11672256141901016,0.15670809149742126,0.10491010546684264,0.1864917278289795,0.13701874017715454,0.16700899600982666,0.1714029759168625,0.20296195149421692]","0.16332054138183594","[0.401972770690918,0.4012291729450226,0.401739239692688,0.40156829357147217,0.4011820256710053,0.4005718827247619,0.4014436006546021,0.4019854664802551,0.4010828137397766,0.40137168765068054,0.40171879529953,0.4015146791934967,0.40129226446151733,0.40195348858833313,0.40157902240753174]"
"steps_4001_lr_0.001_","finished","-","simoryu","","2022-12-30T14:34:05.000Z","1392","","0.001","4001","<rand-0.1>|<rand-0.1>","0.1","0.40172022581100464","0.00104187679477036","","[0.17899711430072784,0.1583859920501709,0.1740429848432541,0.17608502507209778,0.17886148393154144,0.16915498673915863,0.17208130657672882,0.11604376137256622,0.1570616513490677,0.10442054271697998,0.1856873333454132,0.1369425803422928,0.16677583754062653,0.17144793272018433,0.20316016674041748]","0.1632765829563141","[0.40203604102134705,0.4016686081886291,0.4014418721199035,0.4019497334957123,0.40166541934013367,0.4014738798141479,0.40194493532180786,0.40155914425849915,0.4020102024078369,0.4011867642402649,0.4009070992469787,0.4016057252883911,0.4021863341331482,0.40183624625205994,0.4023310542106629]"
"steps_4001_lr_0.001_","finished","-","simoryu","","2022-12-30T14:10:52.000Z","1391","","0.001","4001","game|girl","0.1","0.4015113413333893","0.0010745178163051605","","[0.17845214903354645,0.15835407376289368,0.17415645718574524,0.17536625266075134,0.1788889467716217,0.16893470287322998,0.17240266501903534,0.11597422510385512,0.156963512301445,0.10503344237804411,0.18587081134319303,0.13752727210521698,0.1669992953538895,0.1713496297597885,0.20325900614261627]","0.16330215334892273","[0.401571124792099,0.4018627107143402,0.40142470598220825,0.4008479714393616,0.40139347314834595,0.4016323983669281,0.4018222093582154,0.40208661556243896,0.40141722559928894,0.40137961506843567,0.4007014036178589,0.4011721909046173,0.4018501341342926,0.4015339016914368,0.40197500586509705]"
"steps_4001_lr_0.001_","finished","-","simoryu","","2022-12-30T13:47:40.000Z","1390","","0.001","4001","<zero>|<zero>","0.1","0.4017559289932251","0.0010729862935841084","","[0.17832738161087036,0.15810547769069672,0.17372344434261322,0.17580708861351013,0.17853178083896637,0.16859115660190582,0.1723707616329193,0.1162143349647522,0.15647761523723602,0.10428110510110856,0.1858207732439041,0.13733191788196564,0.16673508286476135,0.17149801552295685,0.20271500945091248]","0.16310206055641174","[0.4017517268657684,0.4011425077915192,0.4017977714538574,0.40174251794815063,0.4012430012226105,0.4018293917179108,0.40216493606567383,0.4021655917167664,0.4014372527599334,0.4015556871891022,0.4019272029399872,0.4017394781112671,0.4020034670829773,0.4018245339393616,0.4020141363143921]"
"steps_4001_lr_0.001_","finished","-","simoryu","","2022-12-30T13:24:27.000Z","1391","","0.001","4001","<rand-0.1>|<rand-0.1>","0.01","0.4014387726783752","0.0010958666261285544","","[0.17871344089508057,0.1579829603433609,0.1737585961818695,0.17577096819877625,0.17878258228302002,0.169231578707695,0.17214936017990112,0.11632857471704484,0.15675397217273712,0.10429754108190536,0.18634140491485596,0.13737018406391144,0.16683878004550934,0.17155998945236206,0.20242996513843536]","0.16322065889835358","[0.4014483392238617,0.40102943778038025,0.4014374911785126,0.40173566341400146,0.4014846086502075,0.40117356181144714,0.4016306400299072,0.40182095766067505,0.4010530412197113,0.4007162153720856,0.401282012462616,0.4019742012023926,0.40180104970932007,0.4017805755138397,0.40121355652809143]"
"steps_4001_lr_0.001_","finished","-","simoryu","","2022-12-30T13:01:15.000Z","1389","","0.001","4001","game|girl","0.01","0.4016867876052856","0.0012257047649472952","","[0.17844024300575256,0.15782801806926727,0.17407314479351044,0.17585332691669464,0.17890244722366333,0.1681857407093048,0.1723642349243164,0.11588499695062636,0.15691764652729034,0.10468252003192902,0.1862435042858124,0.1367591917514801,0.1672556698322296,0.17135190963745117,0.20300468802452087]","0.16318315267562866","[0.4021768271923065,0.4015858471393585,0.40194958448410034,0.4016575813293457,0.40098199248313904,0.4010946452617645,0.4020339548587799,0.4020928740501404,0.4012722671031952,0.40153253078460693,0.4022460877895355,0.4013974368572235,0.4019051194190979,0.40167608857154846,0.40169933438301086]"
"steps_4001_lr_0.001_","finished","-","simoryu","","2022-12-30T12:38:01.000Z","1392","","0.001","4001","<zero>|<zero>","0.01","0.40180909633636475","0.0010443964041769503","","[0.17859533429145813,0.1577766388654709,0.17382219433784485,0.17553357779979706,0.1784500777721405,0.1687135249376297,0.1719471663236618,0.11445599794387816,0.1566956341266632,0.10397668182849884,0.1850664913654327,0.1369459480047226,0.1666996031999588,0.1711065173149109,0.2027451694011688]","0.16283535957336426","[0.4018390476703644,0.40151557326316833,0.40182873606681824,0.4017655849456787,0.4016009569168091,0.4016346335411072,0.40200352668762207,0.4013429284095764,0.402025431394577,0.40195679664611816,0.4018937647342682,0.4017232656478882,0.4020437002182007,0.4019147455692291,0.4020479917526245]"
